County,CLR#,Name,Location Address,Phone,Mailing Address,Expiration Date,Capacity,Age Range Of Service,Transportation Service,Non Traditional,Stars Rating,Provider Type,Active CCAP Children,Serves Children with Special Needs
BOYLE,L383660,Brighter Beginnings Academy,"338 Stanford Avenue, Danville, KY, 40422",(859) 209-5025,"338 Stanford Avenue, Danville, KY, 40422",44957,38,Infant To School Age,N,No Information Available,3,Licensed,Y,Y
BOYLE,L354133,Calvary Child Care Center,"401 Waveland Avenue, Danville, KY, 40422",(859) 238-7712,"401 Waveland Avenue, Danville, KY, 40422",45016,82,Infant To School Age,N,N,3,Licensed,Y,N
BOYLE,L352121,Danville Montessori School,"411 East Main Street, Danville, KY, 40422",(859) 236-9310,"Po Box 651, Danville, KY, 40423",44926,74,Two_To_School To School_Age,N,N,1,Licensed,N,No Information Available
BOYLE,L383870,Gospel Garden Learning Center,"216 Southtown Drive, Danville, KY, 40422",(859) 209-4584,"Po Box 2024, Danville, KY, 40423",45016,48,Infant To School Age,N,No Information Available,1,Licensed,Y,No Information Available
BOYLE,C6834,"Heaven's Lil  Angels","404 North 5th Street, Danville, KY, 40422",(859) 236-8699,"404 North 5th Street, Danville, KY, 40422",45138,6,No Information Available,N,N,1,Certified,Y,N
BOYLE,L384047,Hometown Kids-Danville,"845 East  Main Street, Danville, KY, 40422",(859) 209-5070,"406 Harding Street, Danville, KY, 40422",45199,99,Infant To School Age,N,No Information Available,1,Licensed,Y,Y
BOYLE,C71085,Kaylah Johnson,"2095 Stewarts Lane, Junction City, KY, 40440",(859) 374-1082,"2095 Stewarts Lane, Junction City, KY, 40440",45382,6,No Information Available,N,No Information Available,1,Certified,Y,No Information Available
BOYLE,L384171,Kids for Christ Early Childhood Center Perryville,"440 W 4th Street, Perryville, KY, 40422",(859) 613-4190,"124 E Office Street, Harrodsburg, KY, 40330",44469,40,Infant To School Age,N,No Information Available,1,Licensed,N,No Information Available
BOYLE,L354114,Lexington Avenue Baptist Church Preschool,"339 West Lexington Avenue, Danville, KY, 40422",(859) 236-3565,"339 West Lexington, Avenue, Danville, KY, 40422",44985,60,Two_To_School,N,No Information Available,1,Licensed,N,Y
BOYLE,L377039,Little Lighthouse Learning & Care Center,"416 West Walnut Street, Danville, KY, 40422",(859) 238-0888,"P.O. Box 1736, Danville, KY, 40423",45138,121,Infant To School Age,Y,No Information Available,2,Licensed,Y,N
